	'cept	1(1)	not including; other than
	'cept	2(1)	non-standard contraction of except used in representing speech
	'gainst	1(1)	in opposition to
	'gainst	11(n)	in hostility towards (person or group)
	'gainst	12(1)	short for against
	'gainst	4(2)	in anticipation of and preparation for (a problem or difficulty)
	'gainst	5(2a)	(in betting) in anticipation of the failure of
	'gainst	6(2b)	in resistance to; as protection from
	'gainst	7(2c)	in relation to (an amount of money owed, due, or lent) so as to reduce, cancel, or secure it
	'gainst	9(3a)	in visual contrast to
	'mongst	2(2)	being a member or members of (a larger set)
	'mongst	4(4)	indicating a division, choice, or differentiation involving three or more participants
	'mongst	5(1)	short for amongst (see among)
	'pon	21(11)	paid for by
	'pon	22(12)	added to
	'pon	23(1)	literary or dialect form of upon
	'pon	3(1b)	as a result of accidental physical contact with
	'pon	9(3a)-1	having (the thing mentioned) as the basis for monetary value
	a cut above	1(1)	noticeably superior to
	a la	1(1)	(of a dish) cooked or prepared in a specified way
	a la	2(1a)	in the style or manner of
	abaft	1(1)	nearer the stern than; behind
	aboard	1(1)	on or into (a ship, aircraft, train, or other vehicle)
	aboard	2(1a)	on or on to (a horse)
	about	6(n)	expressing the time when an event takes place
	above	10(n)	more so than anything else
	absent	1(1)	without
	according to	1(1)	as stated by or in
	according to	4(n)	as stated in
	across	3(n)	so as to include
	afore	5(1)	before
	after	11(n)	in spite of indications to the contrary
	after	4(1c)	during the time following the departure or action of
	after	5(2)	behind
	after	7(3)	in pursuit or quest of
	after the fashion of	1(1)	in a manner similar to
	against	1(1)	in opposition to
	against	11(n)	in hostility towards (person or group)
	against	4(2)	in anticipation of and preparation for (a problem or difficulty)
	against	5(2a)	(in betting) in anticipation of the failure of
	against	6(2b)	in resistance to; as protection from
	against	7(2c)	in relation to (an amount of money owed, due, or lent) so as to reduce, cancel, or secure it
	against	9(3a)	in visual contrast to
	agin	1(1)	in opposition to
	agin	11(n)	in hostility towards (person or group)
	agin	12(1)	against
	agin	4(2)	in anticipation of and preparation for (a problem or difficulty)
	agin	5(2a)	(in betting) in anticipation of the failure of
	agin	6(2b)	in resistance to; as protection from
	agin	7(2c)	in relation to (an amount of money owed, due, or lent) so as to reduce, cancel, or secure it
	agin	9(3a)	in visual contrast to
	ahead of	2(1a)	in store for; awaiting
	ahead of	4(n)	higher than (a reference point on a scale)
	all for	1(1)	strongly in favor of
	all over	2(1a)	throughout; in every part of (the body or body part)
	along	2(1a)	used to refer to the passage of time or the making of progress
	along	4(n)	in accordance or conformity with
	alongside	1(1)	close to the side of; next to
	alongside	2(1a)	together with and in cooperation with
	alongside	3(1b)	at the same time as or in coexistence with
	amid	1(1)	surrounded by; in the middle of
	amid	2(1a)	in an atmosphere or against a background of
	amidst	1(1)	surrounded by; in the middle of
	amidst	2(1a)	in an atmosphere or against a background of
	amidst	3(1)	variant of amid
	among	4(4)	indicating a division, choice, or differentiation involving three or more participants
	anent	1(1)	concerning; about
	anti	1(1)	opposed to; against
	apropos	1(1)	with reference to; concerning
	as	2(2)	during the time of being (the thing specified)
	as	3(n)	for example
	as	4(n)	distinguished from or in contrast with
	as far as	1(1)	for a great enough distance to reach
	as far as	2(n)	in the intervening period between (the time mentioned) and the time under consideration, typically the present
	as far as	3(n)	approaching or reaching (a particular goal)
	as for	1(1)	with regard to
	as from	1(1)	used to indicate the time or date from which something starts
	as of	1(1)	used to indicate the time or date from which something starts
	as well as	1(1)	in addition to
	aslant	1(1)	across (something) at an angle
	astraddle	1(1)	with the legs stretched widely on each side of
	astride	1(1)	with a leg on each side of
	astride	2(2)	extending across
	at a range of	1(1)	at (a specified distance) away from
	at the hand of	1(1)	through the agency of
	at the hands of	1(1)	through the agency of
	at the heels of	1(1)	following closely after
	athwart	1(1)	from side to side of; across
	athwart	2(2)	in opposition to; counter to
	atop	2(n)	at the top of (a specified reference amount or group)
	back of	1(1)	behind
	bar	1(1)	except for
	bar	2(1a)	(used when stating the odds) except (a particular horse or horses)
	bare of	1(1)	devoid of; without
	barring	1(1)	except for; if not for
	behind	4(2a)	at the back of or in the wake of (someone)
	behind	5(3)	in support of or giving guidance to (someone else)
	behind	6(3a)	controlling or responsible for (an event or plan)
	behind	7(4)	after the departure or death of (someone)
	below	5(n)	hidden behind (an appearance)
	beneath	6(2c)	hidden behind (an appearance)
	beside	3(2)	in addition to; apart from
	besides	2(n)	at the side of; next to
	between	7(4c)	with reference to a choice or differentiation involving two or more things being considered together
	between	8(5)	by combining the resources or actions of (two or more people or other entities)
	between	9(5a)	shared by (two or more people or things)
	betwixt	10(1)	archaic term for between
	betwixt	7(4c)	with reference to a choice or differentiation involving two or more things being considered together
	betwixt	8(5)	by combining the resources or actions of (two or more people or other entities)
	betwixt	9(5a)	shared by (two or more people or things)
	beyond	5(3)	having progressed or achieved more than (a specified stage or level)
	beyond	7(4)	to or in a degree or condition where (a specified action) is impossible
	beyond	8(4a)	too much for (someone) to achieve or understand
	but for	1(1)	except for
	but for	2(1a)	if it were not for
	by	10(2e)	indicating the sire of a pedigree animal, especially a horse
	by	23(n)	(followed by a noun without a determiner) in various phrases indicating how something happens
	by	7(2b)	indicating a name according to which a person is known
	by courtesy of	1(1)	given or allowed by
	by courtesy of	2(1a)	as a result of; thanks to
	by dint of	1(1)	by means of
	by force of	1(1)	by means of
	by means of	1(1)	with the help of; by using
	by reason of	1(1)	because of
	by the hand of	1(1)	through the agency of
